PB15660@wilsonmoraes@1D8AA8E2-408D-4946-87FF-52849F80DEC5@bezos em 4.05.CRETA.1.82
13/11/2024 13:41:44: Acessou https://jefvirtual.jfpb.jus.br/cretapb/login.wsp
13/11/2024 13:43:51: Logou https://jefvirtual.jfpb.jus.br/cretapb/consulta/processo/pesquisar_geral.wsp?consulta.processo.tp_link=consulta
13/11/2024 13:44:13: Total: 2361
13/11/2024 13:45:42:  0509950-66.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0512528-36.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0500469-16.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0500518-23.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0514069-07.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0519171-10.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0500401-32.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0515168-12.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0505257-10.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0507914-22.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:00:  0501779-57.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0519401-57.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0506704-33.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0511902-22.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0503057-64.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0501706-22.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0504846-64.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0515484-93.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:11:  0504522-74.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:12:  0513193-23.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:12:  0504435-89.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:23:  0506272-14.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:24:  0514169-30.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:24:  0501454-19.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:24:  0512828-03.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:24:  0515093-75.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:24:  0510235-64.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:24:  0514450-20.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:25:  0517182-71.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:25:  0505834-56.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:25:  0508485-61.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:46:36:  0508456-11.2018.4.05.8200 >> Processo salvo no mongo sem os detalhes
